visualisation.ClusterViewer.510 [call to javax.swing.JTextField::getText]
visualisation.ClusterViewer.510 [call to visualisation.ClusterViewerModel::setDotName]
visualisation.ClusterViewer.511 [call to javax.swing.JTextField::getText]
visualisation.ClusterViewer.511 [call to visualisation.ClusterViewerModel::setSilName]
visualisation.ClusterViewer.512 [call to javax.swing.JComboBox::getSelectedItem]
visualisation.ClusterViewer.512 [call to visualisation.ClusterViewerModel::setLayout]
visualisation.ClusterViewer.514 [call to visualisation.ClusterViewerController::loadGraph]
visualisation.ClusterViewerController.48 [call to visualisation.ClusterViewerModel::getDotName]
visualisation.ClusterViewerController.48 [call to searcher.util.TreeLoader::loadTreeFromDot]
visualisation.ClusterViewerController.49 [call to primitives.cluster.ClusterHead::getNodes]
visualisation.ClusterViewerController.54 [call to primitives.graph.Graph::getNodes]
visualisation.ClusterViewerController.54 [call to java.util.Set::iterator]
visualisation.ClusterViewerController.54 [call to java.util.Iterator::hasNext]
visualisation.ClusterViewerController.54 [call to java.util.Iterator::next]
visualisation.ClusterViewerController.55 [call to edu.uci.ics.jung.graph.DirectedSparseMultigraph::addVertex]
visualisation.ClusterViewerController.54 [call to java.util.Iterator::hasNext]
visualisation.ClusterViewerController.54 [call to java.util.Iterator::next]
visualisation.ClusterViewerController.55 [call to edu.uci.ics.jung.graph.DirectedSparseMultigraph::addVertex]
visualisation.ClusterViewerController.54 [call to java.util.Iterator::hasNext]
visualisation.ClusterViewerController.54 [call to java.util.Iterator::next]
visualisation.ClusterViewerController.55 [call to edu.uci.ics.jung.graph.DirectedSparseMultigraph::addVertex]
visualisation.ClusterViewerController.54 [call to java.util.Iterator::hasNext]
visualisation.ClusterViewerController.54 [call to java.util.Iterator::next]
visualisation.ClusterViewerController.55 [call to edu.uci.ics.jung.graph.DirectedSparseMultigraph::addVertex]
visualisation.ClusterViewerController.54 [call to java.util.Iterator::hasNext]
visualisation.ClusterViewerController.54 [call to java.util.Iterator::next]
visualisation.ClusterViewerController.55 [call to edu.uci.ics.jung.graph.DirectedSparseMultigraph::addVertex]
visualisation.ClusterViewerController.54 [call to java.util.Iterator::hasNext]
visualisation.ClusterViewerController.54 [call to java.util.Iterator::next]
visualisation.ClusterViewerController.55 [call to edu.uci.ics.jung.graph.DirectedSparseMultigraph::addVertex]
visualisation.ClusterViewerController.54 [call to java.util.Iterator::hasNext]
visualisation.ClusterViewerController.54 [call to java.util.Iterator::next]
visualisation.ClusterViewerController.55 [call to edu.uci.ics.jung.graph.DirectedSparseMultigraph::addVertex]
visualisation.ClusterViewerController.54 [call to java.util.Iterator::hasNext]
